#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,last,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,sensor
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:30Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,1,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:06:39.966512317Z,0,temp,temp,Fathimas-MacBook-Air.local,TA1P
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:01:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:10Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:20Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:30Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:40Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:02:50Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
,,2,2021-02-05T13:01:39.966512317Z,2021-02-05T13:06:39.966512317Z,2021-02-05T13:03:00Z,33,temp,temp,Fathimas-MacBook-Air.local,TB0T
