#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string
#default,last,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,appname,facility,host,hostname,severity
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:00Z,1611235259138981000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:10Z,1611235269150530000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:20Z,1611235279151611000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:30Z,1611235289162783000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:40Z,1611235299151711000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:21:50Z,1611235309170843000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:00Z,1611235319196340000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:10Z,1611235329186291000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:20Z,1611235339197250000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:30Z,1611235349196218000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
